Stazione, Milano - Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, PM10  - µg/m³
2016/02/25,30
2016/02/26,51
2016/02/27,21
2016/02/28,-999
2016/02/29,24
2016/03/01,-999
2016/03/02,-999
2016/03/03,10
2016/03/04,32
2016/03/05,13
2016/03/06,36
2016/03/07,55
2016/03/08,41
2016/03/09,23
2016/03/10,37
2016/03/11,38
2016/03/12,39
2016/03/13,24
2016/03/14,24
2016/03/15,42
2016/03/16,14
2016/03/17,30
2016/03/18,43
2016/03/19,33
2016/03/20,23
2016/03/21,35
2016/03/22,51
2016/03/23,35
2016/03/24,40
2016/03/25,33
2016/03/26,50
2016/03/27,41
2016/03/28,28
2016/03/29,17
2016/03/30,28
2016/03/31,51
2016/04/01,50
2016/04/02,60
2016/04/03,50
2016/04/04,51
2016/04/05,61
2016/04/06,78
2016/04/07,89
2016/04/08,54
2016/04/09,24
2016/04/10,13
2016/04/11,21
2016/04/12,22
2016/04/13,28
2016/04/14,-999
2016/04/15,19
2016/04/16,24
2016/04/17,26
2016/04/18,22
2016/04/19,31
2016/04/20,25
2016/04/21,30
2016/04/22,30
2016/04/23,20
2016/04/24,10
2016/04/25,14
2016/04/26,28
2016/04/27,16
2016/04/28,25
2016/04/29,34
2016/04/30,19
2016/05/01,6
2016/05/02,12
2016/05/03,24
2016/05/04,12
2016/05/05,20
2016/05/06,27
2016/05/07,33
2016/05/08,29
2016/05/09,18
2016/05/10,30
2016/05/11,41
2016/05/12,14
2016/05/13,24
2016/05/14,26
2016/05/15,17
2016/05/16,22
2016/05/17,19
2016/05/18,17
2016/05/19,16
2016/05/20,19
2016/05/21,14
2016/05/22,14
2016/05/23,22
2016/05/24,17
2016/05/25,-999
2016/05/26,20
2016/05/27,37
2016/05/28,31
2016/05/29,34
2016/05/30,21
2016/05/31,24
2016/06/01,23
2016/06/02,23
2016/06/03,26
2016/06/04,15
2016/06/05,24
2016/06/06,-999
2016/06/07,26
2016/06/08,17
2016/06/09,-999
2016/06/10,24
2016/06/11,31
2016/06/12,-999
2016/06/13,8
2016/06/14,-999
2016/06/15,-999
2016/06/16,-999
2016/06/17,19
2016/06/18,22
2016/06/19,18
2016/06/20,16
2016/06/21,22
2016/06/22,39
2016/06/23,-999
2016/06/24,47
2016/06/25,35
2016/06/26,25
2016/06/27,4
2016/06/28,-999
2016/06/29,11
2016/06/30,14
2016/07/01,30
2016/07/02,18
2016/07/03,16
2016/07/04,23
2016/07/05,25
2016/07/06,25
2016/07/07,30
2016/07/08,27
2016/07/09,33
2016/07/10,31
2016/07/11,22
2016/07/12,6
2016/07/13,20
2016/07/14,14
2016/07/15,24
2016/07/16,13
2016/07/17,17
2016/07/18,19
2016/07/19,33
2016/07/20,37
2016/07/21,29
2016/07/22,19
2016/07/23,23
2016/07/24,22
2016/07/25,29
2016/07/26,20
2016/07/27,17
2016/07/28,28
2016/07/29,26
2016/07/30,19
2016/07/31,9
2016/08/01,11
2016/08/02,23
2016/08/03,21
2016/08/04,23
2016/08/05,5
2016/08/06,12
2016/08/07,25
2016/08/08,25
2016/08/09,19
2016/08/10,8
2016/08/11,10
2016/08/12,12
2016/08/13,10
2016/08/14,13
2016/08/15,19
2016/08/16,21
2016/08/17,17
2016/08/18,18
2016/08/19,16
2016/08/20,28
2016/08/21,19
2016/08/22,15
2016/08/23,21
2016/08/24,26
2016/08/25,26
2016/08/26,23
2016/08/27,24
2016/08/28,27
2016/08/29,22
2016/08/30,14
2016/08/31,19
2016/09/01,28
2016/09/02,31
2016/09/03,36
2016/09/04,34
2016/09/05,18
2016/09/06,27
2016/09/07,23
2016/09/08,38
2016/09/09,37
2016/09/10,31
2016/09/11,22
2016/09/12,40
2016/09/13,45
2016/09/14,53
2016/09/15,30
2016/09/16,17
2016/09/17,21
2016/09/18,26
2016/09/19,15
2016/09/20,24
2016/09/21,-999
2016/09/22,-999
2016/09/23,41
2016/09/24,23
2016/09/25,38
2016/09/26,47
2016/09/27,44
2016/09/28,58
2016/09/29,57
2016/09/30,33
2016/10/01,22
2016/10/02,30
2016/10/03,24
2016/10/04,34
2016/10/05,38
2016/10/06,20
2016/10/07,47
2016/10/08,36
2016/10/09,23
2016/10/10,15
2016/10/11,18
2016/10/12,33
2016/10/13,38
2016/10/14,-999
2016/10/15,-999
2016/10/16,-999
2016/10/17,-999
2016/10/18,-999
2016/10/19,71
2016/10/20,46
2016/10/21,26
2016/10/22,47
2016/10/23,40
2016/10/24,32
2016/10/25,34
2016/10/26,33
2016/10/27,30
2016/10/28,53
2016/10/29,65
2016/10/30,72
2016/10/31,71
2016/11/01,66
2016/11/02,59
2016/11/03,74
2016/11/04,41
2016/11/05,42
2016/11/06,31
2016/11/07,-999
2016/11/08,30
2016/11/09,-999
2016/11/10,-999
2016/11/11,63
2016/11/12,45
2016/11/13,46
2016/11/14,37
2016/11/15,48
2016/11/16,90
2016/11/17,127
2016/11/18,101
2016/11/19,87
2016/11/20,50
2016/11/21,27
2016/11/22,23
2016/11/23,45
2016/11/24,35
2016/11/25,22
2016/11/26,17
2016/11/27,-999
2016/11/28,43
2016/11/29,26
2016/11/30,39
2016/12/01,49
2016/12/02,54
2016/12/03,64
2016/12/04,87
2016/12/05,90
2016/12/06,98
2016/12/07,88
2016/12/08,88
2016/12/09,76
2016/12/10,93
2016/12/11,71
2016/12/12,83
2016/12/13,81
2016/12/14,70
2016/12/15,88
2016/12/16,79
2016/12/17,91
2016/12/18,58
2016/12/19,62
2016/12/20,47
2016/12/21,57
2016/12/22,73
2016/12/23,91
2016/12/24,70
2016/12/25,90
2016/12/26,87
2016/12/27,32
2016/12/28,49
2016/12/29,40
2016/12/30,78
2016/12/31,81
